variable,line_num,filename,call_trace,line
imn,485,./pencil-code/src/equ.f90,rhs_cpu,"calc_pencils_loop: do imn=1,nyz"
n,486,./pencil-code/src/equ.f90,rhs_cpu,n=nn(imn)
m,487,./pencil-code/src/equ.f90,rhs_cpu,m=mm(imn)
lfirstpoint,488,./pencil-code/src/equ.f90,rhs_cpu,lfirstpoint=(imn==1)
llastpoint,489,./pencil-code/src/equ.f90,rhs_cpu,llastpoint=(imn==nyz)
lcoarse_mn,490,./pencil-code/src/equ.f90,rhs_cpu,lcoarse_mn=lcoarse.and.mexts(1)<=m.and.m<=mexts(2)
lcoarse_mn,492,./pencil-code/src/equ.f90,rhs_cpu,"lcoarse_mn=lcoarse_mn.and.ninds(0,m,n)>0"
advec_cs2,507,./pencil-code/src/equ.f90,rhs_cpu,advec_cs2=0.0
maxadvec,508,./pencil-code/src/equ.f90,rhs_cpu,maxadvec=0.
advec2,509,./pencil-code/src/equ.f90,rhs_cpu,if (lenergy.or.ldensity.or.lmagnetic.or.lradiation.or.lneutralvelocity.or.lcosmicray.or.  (ltestfield_z.and.iuutest>0))  advec2=0.
advec2_hypermesh,510,./pencil-code/src/equ.f90,rhs_cpu,if (ldensity.or.lviscosity.or.lmagnetic.or.lenergy)  advec2_hypermesh=0.0
maxdiffus,511,./pencil-code/src/equ.f90,rhs_cpu,maxdiffus=0.
maxdiffus2,512,./pencil-code/src/equ.f90,rhs_cpu,maxdiffus2=0.
maxdiffus3,513,./pencil-code/src/equ.f90,rhs_cpu,maxdiffus3=0.
maxsrc,514,./pencil-code/src/equ.f90,rhs_cpu,maxsrc=0.
imn,525,./pencil-code/src/equ.f90,rhs_cpu,"mn_loop: do imn=nyz-1,2,-1"
imn,485,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,"calc_pencils_loop: do imn=1,nyz"
n,486,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,n=nn(imn)
m,487,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,m=mm(imn)
lfirstpoint,488,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,lfirstpoint=(imn==1)
llastpoint,489,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,llastpoint=(imn==nyz)
lcoarse_mn,490,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,lcoarse_mn=lcoarse.and.mexts(1)<=m.and.m<=mexts(2)
lcoarse_mn,492,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,"lcoarse_mn=lcoarse_mn.and.ninds(0,m,n)>0"
advec_cs2,507,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,advec_cs2=0.0
maxadvec,508,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,maxadvec=0.
advec2,509,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,if (lenergy.or.ldensity.or.lmagnetic.or.lradiation.or.lneutralvelocity.or.lcosmicray.or.  (ltestfield_z.and.iuutest>0))  advec2=0.
advec2_hypermesh,510,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,if (ldensity.or.lviscosity.or.lmagnetic.or.lenergy)  advec2_hypermesh=0.0
maxdiffus,511,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,maxdiffus=0.
maxdiffus2,512,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,maxdiffus2=0.
maxdiffus3,513,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,maxdiffus3=0.
maxsrc,514,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,maxsrc=0.
imn,525,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu,"mn_loop: do imn=nyz-1,2,-1"
scaller,496,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> timing,if (present(location)) scaller=location
jdone,1065,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y,jdone=0
is_vec,1081,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y,is_vec = var_is_vec(j)
scaller,196,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_pper_y -> fatal_error_local,if (present(location)) scaller=location
fatal_errors,200,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_pper_y -> fatal_error_local,fatal_errors=fatal_errors+1
message_stored,213,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_pper_y -> fatal_error_local,"message_stored=trim(scaller)//"": ""//trim(message)"
message_stored,215,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_pper_y -> fatal_error_local,"message_stored=trim(message_stored)//'; '//trim(scaller)//"": ""//trim(message)"
jdone,1886,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_yy_y,jdone=j+2
jdone,1894,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_yy_y,jdone=0
scaller,127,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_van3rd_y -> fatal_error,if (present(location)) scaller=location
errors,131,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_van3rd_y -> fatal_error,errors=errors+1
n,4755,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bcy_extrap_2_3,"do n=1,size(f,3)"
n,4768,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bcy_extrap_2_3,"do n=1,size(f,3)"
scaller,322,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_y -> bc_set_der_y -> warning,if (present(location)) scaller=location
jdone,1336,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z,jdone=0
is_vec,1341,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z,is_vec = var_is_vec(j)
jdone,1990,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_yy_z,jdone=j+2
jdone,2002,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_yy_z,jdone=0
scaller,94,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> not_implemented,if (present(location)) scaller=location
errors,97,./pencil-code/src/messages.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> not_implemented,errors=errors+1
n,313,./pencil-code/src/density_methods.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> getderlnrho_z,n=iz
m,314,./pencil-code/src/density_methods.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> getderlnrho_z,"do m=1,size(f,2)"
n,317,./pencil-code/src/density_methods.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> getderlnrho_z,n=n_save; m=m_save
m,317,./pencil-code/src/density_methods.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_flux -> getderlnrho_z,n=n_save; m=m_save
cs2top,3536,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_temp_z,"if (lread_oldsnap)  cs2top=cs20*exp(gamma*f(l2,m2,n2,iss)/cp+gamma_m1*(f(l2,m2,n2,ilnrho)-lnrho0))"
mpoly,3877,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_ss_temp3_z,allocate(mpoly); mpoly=impossible
n,4591,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_lnrho_hds_z_iso,n = n1+i
m,4592,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_lnrho_hds_z_iso,"do m = m1,m2"
n,4686,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_lnrho_hds_z_iso,n = n2-i
m,4687,./pencil-code/src/eos_idealgas.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_lnrho_hds_z_iso,"do m = m1,m2"
m,7457,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_copy_z_noinflow,"do l=1,size(f,1); do m=1,size(f,2)"
m,7468,./pencil-code/src/boundcond.f90,rhs_cpu -> rhs_cpu -> boundconds_z -> bc_copy_z_noinflow,"do l=1,size(f,1); do m=1,size(f,2)"
phiavg_profile,2802,./pencil-code/src/diagnostics.f90,rhs_cpu -> rhs_cpu -> calc_all_pencils -> calc_phiavg_profile,"phiavg_profile(ir,:) = exp(-0.5*((p%rcyl_mn-r0)/width)**4)"
nu_tdep,1457,./pencil-code/src/viscosity.f90,rhs_cpu -> rhs_cpu -> calc_all_pencils -> calc_pencils_viscosity,"nu_tdep=nu*max(real(t-nu_tdep_toffset)/nu_tdep_t0,1.)**nu_tdep_exponent"
